"","date","song","artist","image_url","last_week","weeks_on_chart","weeks_at_1"
"1120","2021-06-12","Butter","BTS","https://charts-static.billboard.com/img/2021/05/bts-hm9-butter-1b3-180x180.jpg","1","2","2"
"1121","2021-06-19","Butter","BTS","https://charts-static.billboard.com/img/2021/05/bts-hm9-butter-1b3-180x180.jpg","1","3","3"
"1122","2021-06-26","Butter","BTS","https://charts-static.billboard.com/img/2021/05/bts-hm9-butter-1b3-180x180.jpg","1","4","4"
"1123","2021-07-03","Butter","BTS","https://charts-static.billboard.com/img/2021/05/bts-hm9-butter-1b3-180x180.jpg","1","5","5"
"1124","2021-07-10","Butter","BTS","https://charts-static.billboard.com/img/2021/05/bts-hm9-butter-1b3-180x180.jpg","1","6","6"
"1125","2021-07-17","Butter","BTS","https://charts-static.billboard.com/img/2021/05/bts-hm9-butter-1b3-180x180.jpg","1","7","7"
"1126","2021-07-24","Permission To Dance","BTS","https://charts-static.billboard.com/img/2021/07/bts-hm9-permissiontodance-5qn-180x180.jpg","-","1",NA
"1127","2021-07-31","Butter","BTS","https://charts-static.billboard.com/img/2021/05/bts-hm9-butter-1b3-180x180.jpg","7","9","8"
"1128","2021-08-07","Butter","BTS","https://charts-static.billboard.com/img/2021/05/bts-hm9-butter-1b3-180x180.jpg","1","10","9"
"1129","2021-08-14","Stay","The Kid LAROI & Justin Bieber","https://charts-static.billboard.com/img/2021/07/thekidlaroi-uw4-stay-ens-180x180.jpg","4","4","1"
"1130","2021-08-21","Stay","The Kid LAROI & Justin Bieber","https://charts-static.billboard.com/img/2021/07/thekidlaroi-uw4-stay-ens-180x180.jpg","1","5","2"
"1131","2021-08-28","Stay","The Kid LAROI & Justin Bieber","https://charts-static.billboard.com/img/2021/07/thekidlaroi-uw4-stay-ens-180x180.jpg","1","6","3"
"1132","2021-09-04","Stay","The Kid LAROI & Justin Bieber","https://charts-static.billboard.com/img/2021/07/thekidlaroi-uw4-stay-ens-180x180.jpg","1","7","4"
"1133","2021-09-11","Butter","BTS","https://charts-static.billboard.com/img/2021/05/bts-hm9-butter-1b3-180x180.jpg","7","15","10"
"1134","2021-09-18","Way 2 Sexy","Drake Featuring Future & Young Thug","https://charts-static.billboard.com/img/2021/09/drake-8dm-way2sexy-hhn-180x180.jpg","-","1",NA
"1135","2021-09-25","Stay","The Kid LAROI & Justin Bieber","https://charts-static.billboard.com/img/2021/07/thekidlaroi-uw4-stay-ens-180x180.jpg","6","10","5"
"1136","2021-10-02","Stay","The Kid LAROI & Justin Bieber","https://charts-static.billboard.com/img/2021/07/thekidlaroi-uw4-stay-ens-180x180.jpg","1","11","6"
"1137","2021-10-09","My Universe","Coldplay x BTS","https://charts-static.billboard.com/img/2021/10/coldplay-bm3-myuniverse-nkd-180x180.jpg","-","1",NA
"1138","2021-10-16","Stay","The Kid LAROI & Justin Bieber","https://charts-static.billboard.com/img/2021/07/thekidlaroi-uw4-stay-ens-180x180.jpg","2","13","7"
"1139","2021-10-23","Industry Baby","Lil Nas X & Jack Harlow","https://charts-static.billboard.com/img/2021/07/lil-nas-x-qv4-industrybaby-td4-180x180.jpg","2","12","1"
"1140","2021-10-30","Easy On Me","Adele","https://charts-static.billboard.com/img/2021/10/adele-0zg-easyonme-zy9-180x180.jpg","68","2","1"
"1141","2021-11-06","Easy On Me","Adele","https://charts-static.billboard.com/img/2021/10/adele-0zg-easyonme-zy9-180x180.jpg","1","3","2"
"1142","2021-11-13","Easy On Me","Adele","https://charts-static.billboard.com/img/2021/10/adele-0zg-easyonme-zy9-180x180.jpg","1","4","3"
"1143","2021-11-20","Easy On Me","Adele","https://charts-static.billboard.com/img/2021/10/adele-0zg-easyonme-zy9-180x180.jpg","1","5","4"
"1144","2021-11-27","All Too Well (Taylor's Version)","Taylor Swift","https://charts-static.billboard.com/img/2021/11/taylor-swift-vug-alltoowelltaylorsversion-q6v-180x180.jpg","-","1",NA
"1145","2021-12-04","Easy On Me","Adele","https://charts-static.billboard.com/img/2021/10/adele-0zg-easyonme-zy9-180x180.jpg","2","7","5"
"1146","2021-12-11","Easy On Me","Adele","https://charts-static.billboard.com/img/2021/10/adele-0zg-easyonme-zy9-180x180.jpg","1","8","6"
"1147","2021-12-18","Easy On Me","Adele","https://charts-static.billboard.com/img/2021/10/adele-0zg-easyonme-zy9-180x180.jpg","1","9","7"
"1148","2021-12-25","All I Want For Christmas Is You","Mariah Carey","https://charts-static.billboard.com/img/1994/12/mariah-carey-x65-alliwantforchristmasisyou-7ve-180x180.jpg","2","49","6"
"1149","2022-01-01","All I Want For Christmas Is You","Mariah Carey","https://charts-static.billboard.com/img/1994/12/mariah-carey-x65-alliwantforchristmasisyou-7ve-180x180.jpg","1","50","7"
"1150","2022-01-08","All I Want For Christmas Is You","Mariah Carey","https://charts-static.billboard.com/img/1994/12/mariah-carey-x65-alliwantforchristmasisyou-7ve-180x180.jpg","1","51","8"
"1151","2022-01-15","Easy On Me","Adele","https://charts-static.billboard.com/img/2021/10/adele-0zg-easyonme-zy9-180x180.jpg","2","13","8"
"1152","2022-01-22","Easy On Me","Adele","https://charts-static.billboard.com/img/2021/10/adele-0zg-easyonme-zy9-180x180.jpg","1","14","9"
"1153","2022-01-29","Easy On Me","Adele","https://charts-static.billboard.com/img/2021/10/adele-0zg-easyonme-zy9-180x180.jpg","1","15","10"
"1154","2022-02-05","We Don't Talk About Bruno","Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast","https://charts-static.billboard.com/img/2021/12/carolinagaitan-000-wedonttalkaboutbruno-d0v-180x180.jpg","2","5","1"
"1155","2022-02-12","We Don't Talk About Bruno","Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast","https://charts-static.billboard.com/img/2021/12/carolinagaitan-000-wedonttalkaboutbruno-d0v-180x180.jpg","1","6","2"
"1156","2022-02-19","We Don't Talk About Bruno","Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast","https://charts-static.billboard.com/img/2021/12/carolinagaitan-000-wedonttalkaboutbruno-d0v-180x180.jpg","1","7","3"
"1157","2022-02-26","We Don't Talk About Bruno","Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast","https://charts-static.billboard.com/img/2021/12/carolinagaitan-000-wedonttalkaboutbruno-d0v-180x180.jpg","1","8","4"
"1158","2022-03-05","We Don't Talk About Bruno","Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast","https://charts-static.billboard.com/img/2021/12/carolinagaitan-000-wedonttalkaboutbruno-d0v-180x180.jpg","1","9","5"
"1159","2022-03-12","Heat Waves","Glass Animals","https://charts-static.billboard.com/img/2020/07/glass-animals-o0x-heatwaves-o3i-180x180.jpg","2","59","1"
"1160","2022-03-19","Heat Waves","Glass Animals","https://charts-static.billboard.com/img/2020/07/glass-animals-o0x-heatwaves-o3i-180x180.jpg","1","60","2"
"1161","2022-03-26","Heat Waves","Glass Animals","https://charts-static.billboard.com/img/2020/07/glass-animals-o0x-heatwaves-o3i-180x180.jpg","1","61","3"
"1162","2022-04-02","Heat Waves","Glass Animals","https://charts-static.billboard.com/img/2020/07/glass-animals-o0x-heatwaves-o3i-180x180.jpg","1","62","4"
"1163","2022-04-09","Heat Waves","Glass Animals","https://charts-static.billboard.com/img/2020/07/glass-animals-o0x-heatwaves-o3i-180x180.jpg","1","63","5"
"1164","2022-04-16","As It Was","Harry Styles","https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg","-","1",NA
"1165","2022-04-23","First Class","Jack Harlow","https://charts-static.billboard.com/img/2018/01/jack-harlow-i43-180x180.jpg","-","1",NA
